Nombre;Año;Axis;Diametro;Peso
Silver Antoninianus of Caracalla- Rome- AD 213 - AD 217. 1948.19.1603 ;AD-213;12;23.5;5.35
Silver Denarius of Vespasian- Rome- AD 77 - AD 78. 1956.127.35 ;AD-77;6;18.0;2.92
Silver Denarius of Elagabalus- Rome- AD 218 - AD 222. 1956.127.1267 ;AD-218;12;19.0;2.85
Bronze AE3 of Constantine I- Rome- AD 336. 1947.97.44 ;AD-336.;11;15.0;1.51
Bronze AE1 of Diocletian- Thessalonica- AD 302 - AD 303. 1944.100.3677 ;AD-302;6;27.5;9.52
Bronze As of Tiberius- Rome- AD 22 - AD 30. 1944.100.39225 ;AD-22;7;27.0;10.62
Bronze Sestertius of Commodus- Rome- AD 186 - AD 189. 1949.19.4 ;AD-186;12;30.0;23.82
Silver Denarius of Antoninus Pius- Rome- AD 139 - AD 141. 1944.100.48328 ;AD-139;6;16.5;3.16
Bronze AE3 of Constantine I- Constantinople- AD 333 - AD 335. 1944.100.9281 ;AD-333;1;19.0;2.53
Bronze Sestertius of Marcus Aurelius- Rome- AD 161 - AD 176. 1957.172.1756 ;AD-161;6;32.0;24.46
Silver Denarius of Hadrian- Rome- AD 134 - AD 138. 1948.19.1230 ;AD-134;6;17.0;2.97
Silver Antoninianus of Diocletian- Antioch- AD 285 - AD 295. 1944.100.38267 ;AD-285;12;21.0;3.34
Silver Drachma of Lysimachus- Colophon- 301 B.C. - 297 B.C.. 1952.123.335 ;301-B.C.;1;18.0;4.01
Silver Denarius of Trajan- Rome- AD 114. 1944.100.44669 ;AD-114.;7;16.5;3.16
Silver Denarius of Domitian- Rome- AD 93 - AD 94. 1944.100.42517 ;AD-93;6;18.0;2.89
Silver Antoninianus of Quietus- Antioch- AD 260 - AD 261. 1948.19.906 ;AD-260;6;21.0;4.31
Bronze Sestertius of Antoninus Pius- Rome- AD 158 - AD 159. 1944.100.48306 ;AD-158;12;32.0;25.76
Silver Denarius of Septimius Severus- Rome- AD 196 - AD 211. 1956.28.325 ;AD-196;6;19.0;3.23
Silver Denarius of Trajan- Rome- AD 103 - AD 111. 1956.127.1533 ;AD-103;7;19.0;3.38
Silver Denarius of Trajan- Rome- AD 103 - AD 111. 1956.127.1588 ;AD-103;7;18.5;3.3
Silver Denarius of Antoninus Pius- Rome- AD 143 - AD 144. 1948.19.1253 ;AD-143;6;17.5;2.95
Bronze AE1 of Maximinus Daia- Antioch- AD 305. 1944.100.4320 ;AD-305.;1;27.0;10.57
Silver Denarius of Hadrian- Rome- AD 119 - AD 122. 1944.100.44825 ;AD-119;7;18.0;3.29
Silver Denarius of Hadrian- Rome- AD 128 - AD 136. 1956.127.310 ;AD-128;6;18.5;3.29
Bronze Dupondius of Hadrian- Rome- AD 125 - AD 128. 1944.100.47343 ;AD-125;6;25.0;13.67
Bronze AE1 of Diocletian- Antioch- AD 304 - AD 305. 1944.100.4271 ;AD-304;6;27.5;9.87
Silver Denarius of Commodus- Rome- AD 178 - AD 191. 1956.127.1238 ;AD-178;12;18.2;3.09
Silver Antoninianus of Carus- Rome- AD 282 - AD 283. 1944.100.36338 ;AD-282;12;21.5;2.93
Bronze AE3 of Licinius- Cyzicus- AD 313 - AD 315. 1944.100.8701 ;AD-313;12;20.5;3.07
Bronze AE1 of Diocletian- Antioch- AD 304 - AD 305. 1944.100.4297 ;AD-304;6;26.5;8.48
Bronze AE1 of Galerius- Heraclea- AD 305 - AD 306. 1944.100.3943 ;AD-305;1;27.5;9.85
Silver Denarius of Antoninus Pius- Rome- AD 139 - AD 141. 1948.19.1281 ;AD-139;6;17.5;3.31
Bronze AE3 of Licinius- Thessalonica- AD 312 - AD 313. 1944.100.3788 ;AD-312;6;23.0;3.53
Bronze AE3 of Licinius- Thessalonica- AD 312 - AD 313. 1944.100.3755 ;AD-312;6;23.0;3.67
Bronze AE3 of Constantius II- Nicomedia- AD 347 - AD 348. 1948.4.54 ;AD-347;12;14.0;1.47
Bronze AE3 of Constantine I- Heraclea- AD 325 - AD 326. 1969.214.32 ;AD-325;12;19.5;2.89
Bronze Dupondius of Claudius- Rome- AD 41 - AD 50. 1944.100.39326 ;AD-41;6;27.5;13.78
Silver Antoninianus of Aurelian- Siscia- AD 270 - AD 275. 1954.18.141 ;AD-270;6;23.25;4.35
Bronze AE3 of Licinius- Heraclea- AD 317. 1944.100.85123 ;AD-317.;12;18.5;3.01
Silver Denarius of Antoninus Pius- Rome- AD 143 - AD 144. 1944.100.48133 ;AD-143;6;16.5;3.016
Silver Denarius of Antoninus Pius- Rome- AD 158 - AD 159. 1956.127.1888 ;AD-158;12;17.5;3.18
Bronze Sestertius of Antoninus Pius- Rome- AD 140 - AD 144. 1944.100.48212 ;AD-140;6;35.0;26.86
Bronze AE3 of Licinius- Cyzicus- AD 317 - AD 320. 1944.100.8734 ;AD-317;6;19.0;3.48
Bronze AE3 of Constantine I- Alexandria- AD 333 - AD 335. 1944.100.85127 ;AD-333;12;17.5;2.09
Bronze AE3 of Constantine I- Antioch- AD 335 - AD 337. 1954.123.3 ;AD-335;6;14.5;1.34
Bronze AE1 of Diocletian- Antioch- AD 299 - AD 300. 1944.100.4145 ;AD-299;11;26.0;10.0
Silver Antoninianus of Probus- Serdica- AD 276 - AD 282. 1948.19.1002 ;AD-276;7;23.3;3.64
Silver Denarius of Hadrian- Rome- AD 134 - AD 138. 1944.100.45543 ;AD-134;7;18.0;3.37
Bronze AE3 of Valentinian I- Siscia- AD 364 - AD 367. 1948.19.798 ;AD-364;6;18.0;2.62
Silver Denarius of Antoninus Pius- Rome- AD 157 - AD 158. 1956.127.474 ;AD-157;12;17.0;3.55
Bronze AE2 of Maximinus Daia- Antioch- AD 309. 1929.115.1 ;AD-309.;1;23.0;7.28
Bronze AE3 of Licinius- Rome- AD 321. 1969.214.10 ;AD-321.;6;18.0;3.36
Silver Denarius of Augustus- Colonia Patricia- 19 BC - 15 BC. 1957.172.1481 ;19-BC;6;18.5;3.68
Silver Denarius of Commodus- Rome- AD 180. 1956.127.906 ;AD-180.;6;18.0;3.11
Silver Denarius of Hadrian- Rome- AD 134 - AD 138. 1956.127.251 ;AD-134;7;17.0;3.56
Silver Denarius of Vespasian- Rome- AD 70. 1956.127.1281 ;AD-70.;7;19.0;3.04
Silver Denarius of Marcus Aurelius- Rome- AD 161 - AD 176. 1956.127.1014 ;AD-161;12;17.0;3.26
Bronze AE3 of Constantine I- Constantinople- AD 336 - AD 337. 1944.100.9361 ;AD-336;6;16.0;1.3
Silver Denarius of Marcus Aurelius- Rome- AD 161 - AD 175. 1956.127.982 ;AD-161;6;17.5;3.58
Silver Denarius of Marcus Aurelius- Rome- AD 166. 1956.127.1912 ;AD-166.;6;19.5;3.54
Bronze AE3 of Constantine I- Trier- AD 326. 1947.2.274 ;AD-326.;6;19.0;3.28
Silver Denarius of Hadrian- Rome- AD 117. 1956.127.1720 ;AD-117.;6;18.0;3.4
Bronze Sestertius of Gordian III- Rome- AD 241 - AD 244. 1948.19.741 ;AD-241;12;30.0;20.55
Silver Denarius of Augustus- Rome- 16 BC. 1944.100.38332 ;16-BC.;5;19.5;3.46
Bronze Dupondius of Hadrian- Rome- AD 119 - AD 121. 1944.100.45637 ;AD-119;6;26.0;14.61
Bronze AE1 of Maximian- Ticinum- AD 304 - AD 305. 1944.100.85147 ;AD-304;6;27.5;8.31
Bronze AE1 of Maximian- Rome- AD 299. 1944.100.85153 ;AD-299.;4;26.5;7.91
Silver Antoninianus of Diocletian- Heraclea- AD 292 - AD 295. 1944.100.38219 ;AD-292;6;21.5;3.08
Silver Denarius of Hadrian- Rome- AD 119 - AD 122. 1956.127.131 ;AD-119;7;18.5;3.15
Bronze Dupondius of Nero- Rome- AD 64 - AD 68. 1944.100.39747 ;AD-64;5;27.5;14.44
Bronze AE1 of Diocletian- Antioch- AD 298. 1944.100.4121 ;AD-298.;6;27.5;10.27
Bronze AE2 of Maximinus Daia- Antioch- AD 308. 1944.100.4357 ;AD-308.;12;23.5;5.42
Silver Antoninianus of Probus- Antioch- AD 276 - AD 282. 1944.100.36099 ;AD-276;6;22.05;3.99
Bronze Triens- Rome- 211 B.C.. 1969.83.172 ;211-B.C..;6;22.0;5.61
Silver Antoninianus of Caracalla- Rome- AD 216. 1957.172.1795 ;AD-216.;12;23.0;5.11
Bronze As of Tiberius- Rome- AD 34 - AD 37. 1944.100.39233 ;AD-34;12;28.0;10.59
Bronze As of Philip the Arab- Rome- AD 248. 1951.61.15 ;AD-248.;12;25.0;10.48
Bronze AE3 of Constantine I- Cyzicus- AD 325 - AD 326. 1944.100.8909 ;AD-325;5;18.5;2.23
Bronze AE3 of Licinius- Thessalonica- AD 312 - AD 313. 1944.100.3777 ;AD-312;12;21.5;3.45
Bronze As of Titus- Rome- AD 80 - AD 81. 1944.100.41824 ;AD-80;6;28.0;9.91
Bronze Dupondius of Vespasian- Rome- AD 71. 1944.100.41569 ;AD-71.;6;29.0;13.12
Silver Antoninianus of Carus- Rome- AD 282 - AD 283. 1948.8.154 ;AD-282;12;22.0;3.83
Bronze AE1 of Diocletian- Antioch- AD 297. 1944.100.4099 ;AD-297.;5;28.0;10.51
Bronze AE1 of Maximian- Ticinum- AD 295 - AD 296. 1960.170.5 ;AD-295;6;26.0;10.99
Silver Denarius of Antoninus Pius- Rome- AD 156 - AD 157. 1956.127.1897 ;AD-156;6;17.0;3.59
Silver Denarius of Antoninus Pius- Rome- AD 151 - AD 152. 1956.127.434 ;AD-151;6;17.0;3.23
Silver Antoninianus of Probus- Siscia- AD 276 - AD 282. 1960.170.193 ;AD-276;6;22.5;3.59
Silver Cistophorus of Hadrian- Ephesus- AD 128 - AD 132. 1944.100.45578 ;AD-128;6;29.0;10.14
Silver Antoninianus of Maximian- Lugdunum- AD 292 - AD 294. 1944.100.38030 ;AD-292;12;22.0;4.25
Silver Antoninianus of Aurelian- Mediolanum- AD 270 - AD 275. 1948.19.926 ;AD-270;7;22.0;4.2
Silver Denarius of Trajan- Rome- AD 103 - AD 111. 1944.100.43505 ;AD-103;6;17.0;2.55
Bronze AE1 of Diocletian- Antioch- AD 300 - AD 301. 1944.100.4235 ;AD-300;12;27.0;9.57
Bronze AE3 of Constantine I- Antioch- AD 330 - AD 335. 1944.100.9052 ;AD-330;6;18.0;1.95
Bronze AE2 of Maximinus Daia- Antioch- AD 309. 1944.100.4404 ;AD-309.;12;24.0;5.06
Silver Denarius of Marcus Aurelius- Rome- AD 172 - AD 173. 1956.127.863 ;AD-172;12;18.25;4.09
Silver Antoninianus of Aurelian- Ticinum- AD 270 - AD 275. 1962.83.14 ;AD-270;6;22.5;5.06
Bronze AE1 of Diocletian- Antioch- AD 297. 1944.100.4102 ;AD-297.;6;26.0;11.19
Silver Antoninianus of Trajan Decius- Rome- AD 250 - AD 251. 1948.19.833 ;AD-250;5;22.0;3.43
Silver Denarius of Trajan- Rome- AD 114 - AD 117. 1944.100.43620 ;AD-114;6;18.0;2.62
Silver Antoninianus of Probus- Antioch- AD 276 - AD 282. 1944.100.36148 ;AD-276;5;22.25;3.05
Silver Denarius of Antoninus Pius- Rome- AD 139. 1956.127.351 ;AD-139.;6;15.0;3.36
Silver Denarius of Antoninus Pius- Rome- AD 148 - AD 149. 1956.127.1863 ;AD-148;6;17.5;3.07
Silver Denarius of Antoninus Pius- Rome- AD 140 - AD 143. 1948.19.1250 ;AD-140;6;16.0;3.27
Bronze Semis of Nero- Rome- AD 64 - AD 68. 1948.19.1068 ;AD-64;6;17.0;3.28
Silver Antoninianus of Probus- Antioch- AD 276 - AD 282. 1944.100.36115 ;AD-276;6;22.5;4.1
Bronze As- Rome- 148 B.C.. 1954.18.28 ;148-B.C..;2;30.6;21.7
Silver Antoninianus of Probus- Siscia- AD 276 - AD 282. 1944.100.36058 ;AD-276;5;22.25;3.98
Silver Antoninianus of Probus- Ticinum- AD 276 - AD 282. 1944.100.35955 ;AD-276;2;23.25;4.15
Silver Denarius of Hadrian- Rome- AD 125 - AD 128. 1956.127.194 ;AD-125;6;17.0;3.19
Bronze Dupondius of Commodus- Rome- AD 183 - AD 184. 1962.83.23 ;AD-183;6;25.0;13.67
Silver Denarius of Vespasian- Rome- AD 76. 1956.127.1318 ;AD-76.;7;18.0;3.23
Silver Denarius of Marcus Aurelius- Rome- AD 161 - AD 175. 1956.127.959 ;AD-161;6;18.5;3.18
Bronze Dupondius of Nero- Lugdunum- AD 64 - AD 68. 1944.100.39793 ;AD-64;6;29.5;14.15
Silver Denarius of Domitian- Rome- AD 94. 1944.100.42519 ;AD-94.;6;18.0;2.99
Silver Denarius of Severus Alexander- Rome- AD 225 - AD 235. 1956.28.338 ;AD-225;6;19.5;2.48
Bronze AE3 of Licinius- Heraclea- AD 313. 1944.100.3991 ;AD-313.;10;22.0;3.45
Bronze AE1 of Diocletian- Heraclea- AD 296 - AD 297. 1944.100.3851 ;AD-296;6;27.5;9.88
Bronze Sestertius of Gordian III- Rome- AD 239. 1946.35.111 ;AD-239.;2;30.0;17.27
Silver Denarius of Hadrian- Rome- AD 118. 1957.172.1642 ;AD-118.;6;18.0;3.48
Silver Denarius of Antoninus Pius- Rome- AD 141. 1956.127.637 ;AD-141.;6;17.5;3.33
Bronze Sestertius of Hadrian- Rome- AD 119 - AD 121. 1947.2.1299 ;AD-119;5;33.0;27.71
Silver Denarius of Antoninus Pius- Rome- AD 141. 1956.127.680 ;AD-141.;7;16.5;3.16
Silver Antoninianus of Maximian- Lugdunum- AD 290 - AD 294. 1944.100.38017 ;AD-290;6;21.5;3.36
Silver Denarius of Hadrian- Rome- AD 138. 1944.100.45602 ;AD-138.;6;17.0;3.35
Silver Denarius of Trajan- Rome- AD 103 - AD 111. 1948.19.1155 ;AD-103;6;18.0;3.59
Bronze AE3 of Constantine I- Trier- AD 323 - AD 324. 1954.18.100 ;AD-323;12;17.5;3.49
Silver Light miliarensis of Constantius II- Thessalonica- AD 350 - AD 355. 1965.54.2 ;AD-350;11;23.0;4.23
Bronze Dupondius of Marcus Aurelius- Rome- AD 172 - AD 173. 1957.172.1751 ;AD-172;12;26.0;14.1
Silver Denarius of Trajan- Rome- AD 112 - AD 114. 1956.127.1599 ;AD-112;6;19.0;3.27
Silver Denarius of Vespasian- Rome- AD 77 - AD 78. 1956.127.1325 ;AD-77;7;19.0;3.16
Silver Drachma- Colophon- 310 B.C. - 301 B.C.. 1965.77.157 ;310-B.C.;12;18.2;4.29
Bronze Sestertius of Marcus Aurelius- Rome- AD 161. 1944.100.48319 ;AD-161.;12;32.0;30.42
Bronze AE1 of Diocletian- Thessalonica- AD 300 - AD 301. 1944.100.3665 ;AD-300;6;27.0;9.37
Silver Denarius of Hadrian- Rome- AD 125 - AD 128. 1956.127.208 ;AD-125;6;18.0;3.41
Bronze As of Augustus- Rome- 7 BC. 1944.100.38388 ;7-BC.;5;28.5;9.19
Bronze As- Rome- 169 B.C. - 158 B.C.. 1969.83.282 ;169-B.C.;7;32.0;27.3
Silver Uncertain value of Maxentius- Rome- AD 306 - AD 307. 1957.172.98 ;AD-306;12;19.0;3.49
Bronze As of Nero- Rome- AD 64 - AD 68. 1944.100.39758 ;AD-64;6;26.5;10.55
Silver Denarius of Antoninus Pius- Rome- AD 147 - AD 148. 1956.127.402 ;AD-147;6;16.75;3.62
Bronze AE3 of Constantine I- Constantinople- AD 333 - AD 335. 1944.100.9291 ;AD-333;12;17.5;2.1
Bronze AE1 of Diocletian- Antioch- AD 299 - AD 300. 1944.100.4135 ;AD-299;11;28.0;11.92
Bronze Small AE2 of Constantius II- Alexandria- AD 348 - AD 350. 1956.28.92 ;AD-348;12;20.5;5.39
Silver Denarius of Vespasian- Rome- AD 76. 1956.127.47 ;AD-76.;6;18.0;3.03
Silver Antoninianus of Maximian- Lugdunum- AD 289. 1944.100.38003 ;AD-289.;6;22.0;4.1
Silver Denarius of Domitian- Rome- AD 88. 1944.100.42471 ;AD-88.;6;19.0;3.45
Silver Antoninianus of Probus- Siscia- AD 276 - AD 282. 1965.3.1 ;AD-276;6;21.75;3.44
Bronze AE3 of Licinius- Cyzicus- AD 317 - AD 320. 1944.100.8750 ;AD-317;12;18.5;3.94
Bronze AE1 of Diocletian- Heraclea- AD 297 - AD 298. 1944.100.3922 ;AD-297;5;27.0;10.49
Bronze AE3 of Constantine I- Cyzicus- AD 324 - AD 325. 1944.100.8848 ;AD-324;6;19.0;3.31
Bronze AE2 of Theodosius I- Nicomedia- AD 383 - AD 388. 1929.115.6 ;AD-383;12;22.0;7.47
Silver Antoninianus of Maximian- Lugdunum- AD 289. 1944.100.37994 ;AD-289.;7;22.0;4.31
Silver Antoninianus of Maximian- Lugdunum- AD 293 - AD 294. 1944.100.38031 ;AD-293;1;22.0;3.59
Bronze AE1 of Galerius- Heraclea- AD 305 - AD 306. 1944.100.3933 ;AD-305;12;27.5;10.28
Bronze Quadrans- Rome- 132 B.C.. 1944.100.483 ;132-B.C..;2;15.1;3.26
Silver Antoninianus of Gallienus- Rome- AD 260 - AD 268. 1947.97.209 ;AD-260;12;20.7;3.95
Silver Antoninianus of Probus- Ticinum- AD 276 - AD 282. 1944.100.35877 ;AD-276;12;21.75;3.4
Bronze AE2 of Licinius- Heraclea- AD 312. 1957.159.5 ;AD-312.;6;21.5;3.67
Silver Denarius of Hadrian- Rome- AD 134 - AD 138. 1944.100.44858 ;AD-134;6;18.5;3.15
Bronze As of Hadrian- Rome- AD 134 - AD 138. 1944.100.47416 ;AD-134;6;27.0;16.04
Silver Antoninianus of Carus- Antioch- AD 282 - AD 283. 1944.100.36403 ;AD-282;6;20.5;4.17
Silver Denarius of Hadrian- Rome- AD 125 - AD 128. 1957.159.72 ;AD-125;6;17.5;3.37
Bronze As of Hadrian- Rome- AD 128 - AD 136. 1944.100.47477 ;AD-128;6;25.0;10.45
Silver Denarius of Antoninus Pius- Rome- AD 148 - AD 149. 1956.127.407 ;AD-148;6;18.0;2.96
Silver Antoninianus of Gordian III- Rome- AD 241 - AD 243. 1948.19.603 ;AD-241;6;22.0;4.41
Silver Denarius of Vespasian- Rome- AD 77 - AD 78. 1944.100.39941 ;AD-77;6;18.0;3.23
Bronze As of Antoninus Pius- Rome- AD 150 - AD 151. 1944.100.48280 ;AD-150;6;27.0;9.25
Bronze AE3 of Constantine I- Aquileia- AD 317. 1957.159.22 ;AD-317.;6;19.5;3.14
Bronze As- Rome- 90 B.C.. 1944.100.887 ;90-B.C..;12;26.5;11.29
Silver Denarius of Antoninus Pius- Rome- AD 141. 1944.100.48343 ;AD-141.;6;16.0;3.35
Silver Denarius- Rome- 59 B.C.. 1963.237.67 ;59-B.C..;12;17.0;3.11
Silver Denarius of Antoninus Pius- Rome- AD 145 - AD 161. 1956.127.1857 ;AD-145;6;17.5;3.48
Silver Denarius of Antoninus Pius- Rome- AD 145 - AD 160. 1956.127.742 ;AD-145;12;18.0;3.17
Silver Denarius of Hadrian- Rome- AD 119 - AD 122. 1956.127.155 ;AD-119;6;17.0;3.54
Silver Denarius of Hadrian- Rome- AD 125 - AD 128. 1956.127.214 ;AD-125;6;18.5;3.15
Silver Antoninianus of Victorinus- Cologne- AD 269 - AD 271. 1947.97.272 ;AD-269;6;19.5;2.75
Silver Denarius of Tiberius- Lugdunum- AD 14 - AD 37. 1944.100.39251 ;AD-14;10;18.5;3.61
Silver Denarius of Antoninus Pius- Rome- AD 140 - AD 143. 1944.100.48132 ;AD-140;6;18.0;3.42
Bronze AE3 of Constantine II- Trier- AD 337 - AD 340. 1944.100.85107 ;AD-337;11;15.0;1.76
Bronze AE3 of Constantine I- Cyzicus- AD 324 - AD 325. 1944.100.8821 ;AD-324;5;18.5;2.92
Silver Denarius of Balbinus- Rome- AD 238. 1948.19.381 ;AD-238.;6;21.5;2.99
Bronze Fraction of Diocletian- Cyzicus- AD 295 - AD 299. 1944.100.38119 ;AD-295;6;20.5;3.49
Silver Denarius of Augustus- Uncertain value- 29 BC - 27 BC. 1957.172.1501 ;29-BC;3;20.5;3.61
Silver Drachma- Colophon- 310 B.C. - 301 B.C.. 1952.123.312 ;310-B.C.;12;19.4;4.12
Silver Denarius of Antoninus Pius- Rome- AD 145 - AD 161. 1956.127.399 ;AD-145;6;16.5;3.13
Silver Denarius of Antoninus Pius- Rome- AD 145 - AD 161. 1956.127.928 ;AD-145;12;17.25;3.61
Silver Denarius of Hadrian- Rome- AD 119 - AD 122. 1956.127.1752 ;AD-119;7;18.5;3.41
Bronze AE3 of Constantine I- Cyzicus- AD 325 - AD 326. 1944.100.8915 ;AD-325;12;19.0;3.71
Silver Denarius of Titus- Rome- AD 79. 1956.127.50 ;AD-79.;6;19.0;3.29
Bronze AE3 of Constantine I- Constantinople- AD 330 - AD 333. 1944.100.9220 ;AD-330;12;17.0;2.87
Silver Antoninianus of Probus- Antioch- AD 276 - AD 282. 1944.100.36190 ;AD-276;6;21.5;4.29
Silver Drachma- Colophon- 310 B.C. - 301 B.C.. 1952.123.283 ;310-B.C.;2;17.9;4.16
Bronze As of Aurelian- Rome- AD 270 - AD 275. 1957.159.64 ;AD-270;12;23.8;6.78
Bronze AE1 of Galerius- Serdica- AD 305 - AD 306. 1944.100.4061 ;AD-305;7;27.0;10.42
Bronze Dupondius of Domitian- Rome- AD 88 - AD 89. 1944.100.42602 ;AD-88;6;29.0;12.46
Bronze As of Titus- Rome- AD 80 - AD 81. 1957.172.1595 ;AD-80;6;28.0;10.76
Bronze AE3 of Licinius- Antioch- AD 317 - AD 320. 1944.100.8974 ;AD-317;5;19.0;2.94
Bronze As of Domitian- Rome- AD 87. 1944.100.42598 ;AD-87.;6;28.0;10.94
Bronze AE3 of Licinius- Thessalonica- AD 312 - AD 313. 1944.100.3796 ;AD-312;12;23.0;3.34
Silver Denarius of Trajan- Rome- AD 103 - AD 111. 1956.127.1540 ;AD-103;6;18.0;3.24
Silver Antoninianus of Maximian- Lugdunum- AD 290 - AD 291. 1947.2.404 ;AD-290;12;21.0;4.57
Bronze Dupondius of Tiberius- Rome- AD 22 - AD 23. 1944.100.39289 ;AD-22;12;29.5;14.39
Silver Denarius of Vespasian- Rome- AD 77 - AD 78. 1948.19.1086 ;AD-77;6;16.0;3.21
Silver Denarius of Trajan- Rome- AD 98 - AD 99. 1956.127.1387 ;AD-98;7;19.0;3.16
Bronze AE3 of Constantine I- Nicomedia- AD 330 - AD 335. 1944.100.8687 ;AD-330;6;17.5;2.3
Silver Denarius of Domitian- Rome- AD 92. 1944.100.42502 ;AD-92.;6;19.0;3.31
Bronze Sestertius of Hadrian- Rome- AD 128 - AD 136. 1944.100.47472 ;AD-128;6;30.0;22.87
Silver Denarius of Marcus Aurelius- Rome- AD 161 - AD 175. 1956.127.969 ;AD-161;6;17.0;3.37
Bronze AE3 of Constantine I- Antioch- AD 330 - AD 335. 1944.100.9056 ;AD-330;6;17.0;2.84
Silver Antoninianus of Gordian III- Rome- AD 241 - AD 243. 1956.28.67 ;AD-241;6;22.0;3.96
Silver Antoninianus of Diocletian- Antioch- AD 285. 1944.100.38140 ;AD-285.;6;21.0;4.73
Bronze AE3 of Constantius II- Alexandria- AD 337 - AD 340. 1954.123.29 ;AD-337;6;16.0;1.88
Silver Denarius of Vespasian- Rome- AD 70. 1944.100.39903 ;AD-70.;6;16.0;3.44
Bronze Sestertius of Philip the Arab- Rome- AD 244 - AD 249. 1948.19.664 ;AD-244;12;30.0;16.63
Silver Denarius of Trajan- Rome- AD 114 - AD 117. 1956.127.1654 ;AD-114;7;18.0;3.42
Silver Denarius of Antoninus Pius- Rome- AD 141. 1956.127.594 ;AD-141.;6;17.25;3.31
Bronze As of Septimius Severus- Rome- AD 204. 1951.94.24 ;AD-204.;6;26.0;8.98
Bronze AE3 of Constantine I- Alexandria- AD 335 - AD 337. 1954.123.22 ;AD-335;6;16.0;1.77
Bronze Sestertius of Hadrian- Rome- AD 119 - AD 122. 1944.100.45621 ;AD-119;6;32.0;22.25
Silver Antoninianus of Probus- Tripolis- AD 276 - AD 282. 1944.100.36277 ;AD-276;6;22.0;3.84
Silver Antoninianus of Trajan Decius- Rome- AD 251. 1948.19.838 ;AD-251.;12;22.5;3.58
Silver Denarius of Pescennius Niger- Antioch- AD 193 - AD 194. 1956.127.1250 ;AD-193;6;18.4;4.34
Bronze Quadrans of Gaius/Caligula- Rome- AD 39 - AD 40. 1944.100.39343 ;AD-39;7;16.5;3.18
Silver Denarius of Trajan- Rome- AD 103 - AD 111. 1944.100.43526 ;AD-103;6;18.0;3.45
Bronze Sestertius of Tiberius- Rome- AD 22 - AD 23. 1957.172.1516 ;AD-22;9;33.5;26.83
Silver Denarius of Maximinus Thrax- Rome- AD 235 - AD 236. 1948.19.330 ;AD-235;6;20.4;3.471
Silver Drachma of Philip III Arrhidaeus- Colophon- 323 B.C. - 319 B.C.. 1952.123.272 ;323-B.C.;12;17.3;4.12
Silver Denarius of Antoninus Pius- Rome- AD 147 - AD 148. 1948.19.1301 ;AD-147;12;16.5;3.47
Bronze AE1 of Diocletian- Antioch- AD 299 - AD 300. 1944.100.4171 ;AD-299;6;26.5;8.45
Bronze AE3 of Constantine I- Cyzicus- AD 324 - AD 325. 1944.100.8836 ;AD-324;12;20.0;3.22
Silver Denarius of Vespasian- Lugdunum- AD 71. 1944.100.39958 ;AD-71.;6;17.5;2.76
Bronze AE2 of Maximinus Daia- Antioch- AD 309 - AD 310. 1944.100.4420 ;AD-309;12;24.0;5.88
Bronze AE1 of Constantius Chlorus- Carthage- AD 306. 1944.100.4019 ;AD-306.;1;27.0;9.5
Bronze AE3 of Constantine I- Thessalonica- AD 324. 1944.13.6 ;AD-324.;12;19.0;3.22
Bronze AE3 of Licinius- Thessalonica- AD 312 - AD 313. 1944.100.3734 ;AD-312;12;23.5;3.16
Bronze AE1 of Maximian- Carthage- AD 299 - AD 303. 1963.237.28 ;AD-299;6;27.5;8.61
Silver Antoninianus of Gordian III- Rome- AD 238 - AD 239. 1956.28.27 ;AD-238;11;23.0;6.18
Silver Denarius of Antoninus Pius- Rome- AD 138. 1956.127.334 ;AD-138.;6;16.0;3.5
Bronze Sestertius of Nero- Lugdunum- AD 64 - AD 68. 1944.100.39782 ;AD-64;7;34.5;27.32
Silver Denarius of Hadrian- Rome- AD 134 - AD 138. 1944.100.45555 ;AD-134;6;17.5;3.17
Silver Denarius of Gordian III- Rome- AD 241. 1948.19.720 ;AD-241.;12;19.5;2.85
Silver Denarius of Domitian- Rome- AD 82. 1956.127.1369 ;AD-82.;5;18.5;3.13
Bronze Dupondius of Hadrian- Rome- AD 119 - AD 121. 1944.100.45638 ;AD-119;6;27.0;12.4
Bronze AE2 of Maximinus Daia- Antioch- AD 312. 1944.100.4452 ;AD-312.;12;21.5;5.08
Silver Denarius of Trajan- Rome- AD 103 - AD 111. 1956.127.1553 ;AD-103;7;20.0;3.13
Bronze Sestertius of Titus- Rome- AD 80 - AD 81. 1944.100.41796 ;AD-80;6;32.0;31.597
Bronze AE3 of Constantine I- Antioch- AD 330 - AD 335. 1944.100.9034 ;AD-330;12;16.5;2.61
Silver Denarius of Antoninus Pius- Rome- AD 141. 1956.127.649 ;AD-141.;6;17.0;3.62
Bronze AE1 of Diocletian- Heraclea- AD 296 - AD 297. 1944.100.3870 ;AD-296;6;27.0;9.89
Silver Denarius of Trajan- Rome- AD 112 - AD 114. 1944.100.43605 ;AD-112;6;19.0;3.06
Silver Denarius of Elagabalus- Rome/Antioch- AD 219 - AD 220. 1948.19.1798 ;AD-219;6;18.45;3.05
Silver Antoninianus of Carus- Rome- AD 282 - AD 283. 1944.100.36341 ;AD-282;6;20.0;4.01
Silver Antoninianus of Probus- Antioch- AD 276 - AD 282. 1944.100.36234 ;AD-276;6;20.5;4.32
